event_name,bet_type,pick,pick_ev,opponent,opponent_ev,risk_amount,win_amount,outcome,bet_result
Sentry Tournament of Champions,R1 Match-Up,"Thomas, Justin (-154)",0.1091629999999999,"Spieth, Jordan (135)",-0.22971700000000006,27,18,loss,-27
Sentry Tournament of Champions,R1 Match-Up,"Berger, Daniel (-196)",0.05941599999999991,"Kisner, Kevin (165)",-0.20923999999999998,15,8,win,8
Sentry Tournament of Champions,R1 Match-Up,"Lee, Kyounghoon (-120)",0.05365909999999996,"Cink, Stewart (-100)",-0.15154,13,11,loss,-13
Sentry Tournament of Champions,R2 Match-Up,"Glover, Lucas (150)",0.10660000000000003,"English, Harris (-169)",-0.11379759999999983,26,39,win,39
Sentry Tournament of Champions,R2 Match-Up,"Dahmen, Joel (115)",0.08665299999999987,"Koepka, Brooks (-135)",-0.13943079999999997,21,24,loss,-21
Sentry Tournament of Champions,R2 Match-Up,"Davis, Cameron (-100)",0.10943999999999998,"Cink, Stewart (-120)",-0.1851375999999999,26,26,loss,-26
Sentry Tournament of Champions,R2 Match-Up,"Reed, Patrick (165)",0.05318949999999978,"Thomas, Justin (-196)",-0.0901192999999999,13,21,win,21
Sentry Tournament of Champions,R3 Match-Up,"Thomas, Justin (-154)",0.1071829999999998,"Spieth, Jordan (135)",-0.2268969999999999,26,17,win,17
Sentry Tournament of Champions,R3 Match-Up,"Smith, Cameron (145)",0.1073265000000001,"Rahm, Jon (-164)",-0.11767169999999993,26,38,loss,-26
Sentry Tournament of Champions,R4 Match-Up,"Mickelson, Phil (155)",0.09468949999999987,"English, Harris (-179)",-0.10969239999999991,23,36,loss,-23
Sentry Tournament of Champions,R4 Match-Up,"Van Rooyen, Erik (135)",0.28967999999999994,"Spieth, Jordan (-154)",-0.2555200000000001,70,94,loss,-70
Sentry Tournament of Champions,R4 Match-Up,"Kisner, Kevin (-100)",0.053080000000000016,"Cink, Stewart (-120)",-0.13356820000000003,13,13,win,13
Sony Open in Hawaii,R1 Match-Up,"Kuchar, Matt (-115)",0.052548200000000156,"Cink, Stewart (-105)",-0.14757700000000007,12,10,win,10
Sony Open in Hawaii,R2 Match-Up,"Im, Sungjae (-110)",0.053174000000000055,"Leishman, Marc (-110)",-0.14317400000000002,12,11,win,11
Sony Open in Hawaii,R3 Match-Up,"Walker, Jimmy (190)",0.07523299999999988,"Leishman, Marc (-233)",-0.10020110000000015,17,32,loss,-17
Sony Open in Hawaii,R3 Match-Up,"Palmer, Ryan (-100)",0.07085999999999992,"Kisner, Kevin (-120)",-0.14983689999999994,16,16,loss,-16
Sony Open in Hawaii,R3 Match-Up,"Kokrak, Jason (-105)",0.05832349999999975,"Howell III, Charles (-115)",-0.1449050999999999,13,12,win,12
Sony Open in Hawaii,R4 Match-Up,"Taylor, Vaughn (150)",0.06272500000000014,"Lee, Kyounghoon (-169)",-0.08589309999999994,14,21,win,21
Sony Open in Hawaii,R4 Match-Up,"Henley, Russell (125)",0.08501750000000019,"Matsuyama, Hideki (-145)",-0.12496870000000015,19,24,loss,-19
Sony Open in Hawaii,R4 Match-Up,"Whaley, Vincent (145)",0.1073265000000001,"English, Harris (-164)",-0.11767169999999993,24,35,win,35
Sony Open in Hawaii,R4 Match-Up,"Armour, Ryan (130)",0.12759799999999988,"Cink, Stewart (-149)",-0.14873420000000004,28,36,win,36
The American Express,R1 Match-Up,"Woodland, Gary (125)",0.11264750000000001,"Wolff, Matthew (-145)",-0.14572190000000007,27,34,win,34
The American Express,R1 Match-Up,"Griffin, Lanto (155)",0.096908,"Conners, Corey (-179)",-0.11104959999999997,23,36,win,36
The American Express,R1 Match-Up,"Day, Jason (125)",0.1118825000000001,"Rose, Justin (-145)",-0.14514729999999998,27,34,win,34
The American Express,R1 Match-Up,"Villegas, Camilo (120)",0.06150000000000011,"Harman, Brian (-141)",-0.11507500000000004,15,18,loss,-15
The American Express,R2 Match-Up,"Mickelson, Phil (135)",0.05606650000000002,"Fowler, Rickie (-154)",-0.0914935,15,20,loss,-15
The American Express,R2 Match-Up,"Varner III, Harold (105)",0.37015849999999983,"Zalatoris, Will (-125)",-0.40306600000000004,98,103,loss,-98
The American Express,R2 Match-Up,"Cantlay, Patrick (-141)",0.08154079999999997,"Scheffler, Scottie (120)",-0.19145600000000007,21,15,win,15
The American Express,R2 Match-Up,"Villegas, Camilo (145)",0.14201850000000027,"Harman, Brian (-164)",-0.14046930000000002,37,54,win,54
The American Express,R2 Match-Up,"Day, Jason (120)",0.10541200000000006,"Rose, Justin (-141)",-0.14920660000000008,28,34,loss,-28
The American Express,R2 Match-Up,"Duncan, Tyler (145)",0.10156900000000002,"Lee, Kyounghoon (-164)",-0.1138882,27,39,win,39
The American Express,R3 Match-Up,"Varner III, Harold (-100)",0.22975999999999996,"Zalatoris, Will (-120)",-0.2952303999999999,59,59,win,59
The American Express,R3 Match-Up,"Mickelson, Phil (140)",0.0736159999999999,"Fowler, Rickie (-161)",-0.10469080000000008,19,27,win,27
The American Express,R3 Match-Up,"Duncan, Tyler (135)",0.06140099999999982,"Lee, Kyounghoon (-154)",-0.09523899999999996,16,22,loss,-16
The American Express,R3 Match-Up,"Villegas, Camilo (140)",0.11012,"Harman, Brian (-161)",-0.12933099999999997,28,39,loss,-28
The American Express,R4 Match-Up,"Henley, Russell (-110)",0.0657991,"Bezuidenhout, Christiaan (-110)",-0.15579910000000008,17,15,win,15
The American Express,R4 Match-Up,"Varner III, Harold (-100)",0.22882000000000002,"Zalatoris, Will (-120)",-0.2943703,61,61,loss,-61
The American Express,R4 Match-Up,"Hoge, Tom (-135)",0.08706499999999995,"Hodges, Lee (115)",-0.19321250000000012,23,17,win,17
Farmers Insurance Open,R1 Match-Up,"Day, Jason (145)",0.05249550000000025,"Matsuyama, Hideki (-164)",-0.08163989999999999,14,20,win,20
Farmers Insurance Open,R1 Match-Up,"Tringale, Cameron (105)",0.21353849999999985,"Zalatoris, Will (-125)",-0.26554599999999995,55,58,win,58
Farmers Insurance Open,R1 Match-Up,"Reed, Patrick (115)",0.11251749999999983,"Leishman, Marc (-135)",-0.16036300000000003,29,33,loss,-29
Farmers Insurance Open,R1 Match-Up,"Berger, Daniel (-145)",0.11234110000000008,"Koepka, Brooks (125)",-0.23092749999999995,29,20,win,20
Farmers Insurance Open,R2 Match-Up,"Tringale, Cameron (105)",0.20654799999999973,"Zalatoris, Will (-125)",-0.25940799999999997,57,60,win,60
Farmers Insurance Open,R2 Match-Up,"Reed, Patrick (110)",0.09500300000000017,"Leishman, Marc (-130)",-0.1529311,26,29,win,29
Farmers Insurance Open,R2 Match-Up,"Bezuidenhout, Christiaan (105)",0.054458499999999965,"Homa, Max (-125)",-0.12586599999999992,15,16,win,16
