event_name,bet_type,pick,pick_ev,opponent,opponent_ev,risk_amount,win_amount,outcome,bet_result
Sentry Tournament of Champions,R1 Match-Up,"Thomas, Justin (-154)",0.10606099999999996,"Spieth, Jordan (135)",-0.22529900000000003,27,18,loss,-27
Sentry Tournament of Champions,R1 Match-Up,"Berger, Daniel (-196)",0.06261720000000004,"Kisner, Kevin (165)",-0.2148580000000001,16,8,win,8
Sentry Tournament of Champions,R2 Match-Up,"Glover, Lucas (150)",0.10967499999999997,"English, Harris (-169)",-0.11575329999999995,27,40,win,40
Sentry Tournament of Champions,R2 Match-Up,"Dahmen, Joel (115)",0.08684650000000005,"Koepka, Brooks (-135)",-0.13958740000000003,21,24,loss,-21
Sentry Tournament of Champions,R2 Match-Up,"Davis, Cameron (-100)",0.10850000000000004,"Cink, Stewart (-120)",-0.18427749999999998,27,27,loss,-27
Sentry Tournament of Champions,R2 Match-Up,"Reed, Patrick (165)",0.05724399999999985,"Thomas, Justin (-196)",-0.0924296,14,23,win,23
Sentry Tournament of Champions,R3 Match-Up,"Thomas, Justin (-154)",0.10648999999999997,"Spieth, Jordan (135)",-0.22590999999999994,27,18,win,18
Sentry Tournament of Champions,R3 Match-Up,"Smith, Cameron (145)",0.09872700000000023,"Rahm, Jon (-164)",-0.11202060000000003,25,36,loss,-25
Sentry Tournament of Champions,R4 Match-Up,"Finau, Tony (-125)",0.05784200000000017,"Koepka, Brooks (105)",-0.1547645000000002,14,11,win,11
Sentry Tournament of Champions,R4 Match-Up,"Mickelson, Phil (155)",0.09836149999999999,"English, Harris (-179)",-0.1119388,24,37,loss,-24
Sentry Tournament of Champions,R4 Match-Up,"Van Rooyen, Erik (135)",0.29496750000000005,"Spieth, Jordan (-154)",-0.2592325,73,99,loss,-73
Sentry Tournament of Champions,R4 Match-Up,"Kisner, Kevin (-100)",0.05015999999999998,"Cink, Stewart (-120)",-0.1308963999999999,12,12,win,12
Sony Open in Hawaii,R1 Match-Up,"Kuchar, Matt (-115)",0.05881270000000005,"Cink, Stewart (-105)",-0.1541095,13,11,win,11
Sony Open in Hawaii,R2 Match-Up,"Im, Sungjae (-110)",0.05380430000000014,"Leishman, Marc (-110)",-0.1438043,12,11,win,11
Sony Open in Hawaii,R3 Match-Up,"Walker, Jimmy (190)",0.07476899999999986,"Leishman, Marc (-233)",-0.09997230000000001,18,34,loss,-18
Sony Open in Hawaii,R3 Match-Up,"Palmer, Ryan (-100)",0.0750599999999999,"Kisner, Kevin (-120)",-0.15367989999999987,18,18,loss,-18
Sony Open in Hawaii,R3 Match-Up,"Kokrak, Jason (-105)",0.059415500000000065,"Howell III, Charles (-115)",-0.14595229999999992,14,13,win,13
Sony Open in Hawaii,R4 Match-Up,"Taylor, Vaughn (150)",0.06462499999999993,"Lee, Kyounghoon (-169)",-0.08710150000000005,15,22,win,22
Sony Open in Hawaii,R4 Match-Up,"Henley, Russell (125)",0.09365749999999995,"Matsuyama, Hideki (-145)",-0.13145830000000003,21,26,loss,-21
Sony Open in Hawaii,R4 Match-Up,"Whaley, Vincent (145)",0.10869850000000003,"English, Harris (-164)",-0.11857329999999988,25,36,win,36
Sony Open in Hawaii,R4 Match-Up,"Armour, Ryan (130)",0.12148000000000003,"Cink, Stewart (-149)",-0.1442920000000001,28,36,win,36
The American Express,R1 Match-Up,"Woodland, Gary (125)",0.11210750000000003,"Wolff, Matthew (-145)",-0.14531629999999995,28,35,win,35
