dg_id,playerImage160,player_name,rounds,sg_mean,2017,2018,2019,2020,2021
16566,https://dkn.gs/sports/images/countries/160/france.png,"Barjon, Paul",0,NA,NA,NA,NA,NA,NA
28158,https://dkn.gs/sports/images/countries/160/united_states.png,"Bennett, Sam",0,NA,NA,NA,NA,NA,NA
18103,https://dkn.gs/sports/images/golf/players/160/1115.png,"Bezuidenhout, Christiaan",8,1.87,NA,NA,NA,T18,7
13872,https://dkn.gs/sports/images/golf/players/160/518.png,"Bradley, Keegan",20,0.872,T34,T26,T46,T42,T10
25363,https://dkn.gs/sports/images/countries/160/united_states.png,"Buckley, Hayden",0,NA,NA,NA,NA,NA,NA
19483,https://dkn.gs/sports/images/golf/players/160/582.png,"Burns, Sam",14,-0.01,NA,T49,T54,T36,CUT
6931,https://dkn.gs/sports/images/golf/players/160/567.png,"Byrd, Jonathan",0,NA,NA,NA,NA,NA,NA
7108,https://dkn.gs/sports/images/golf/players/160/1039.png,"Casey, Paul",8,1.196,T41,NA,NA,NA,T10
23542,https://dkn.gs/sports/images/golf/players/160/1001.png,"Champ, Cameron",6,-2.054,NA,NA,CUT,CUT,CUT
17576,https://dkn.gs/sports/images/golf/players/160/1038.png,"Conners, Corey",8,0.88,NA,NA,CUT,CUT,3
17786,https://dkn.gs/sports/images/golf/players/160/578.png,"Davis, Cameron",2,-1.004,NA,NA,NA,NA,CUT
9771,https://dkn.gs/sports/images/golf/players/160/1122.png,"Day, Jason",13,0.931,T23,T22,NA,WD,T31
17646,https://dkn.gs/sports/images/golf/players/160/1199.png,"Fitzpatrick, Matthew",18,1.763,T13,CUT,2,T9,T10
12294,https://dkn.gs/sports/images/golf/players/160/733.png,"Fleetwood, Tommy",18,1.415,T10,T26,T3,CUT,T10
12965,https://dkn.gs/sports/images/golf/players/160/991.png,"Fowler, Rickie",20,0.772,12,T14,T40,T18,72
11955,https://dkn.gs/sports/images/golf/players/160/1175.png,"Frittelli, Dylan",6,0.433,NA,NA,NA,T18,CUT
5689,https://dkn.gs/sports/images/golf/players/160/981.png,"Garcia, Sergio",0,NA,NA,NA,NA,NA,NA
24550,https://dkn.gs/sports/images/countries/160/united_states.png,"Ghim, Doug",4,0.588,NA,NA,NA,NA,T36
7399,https://dkn.gs/sports/images/golf/players/160/992.png,"Glover, Lucas",18,0.638,T7,T49,T10,CUT,T66
18580,https://dkn.gs/sports/images/golf/players/160/527.png,"Gooch, Talor",12,1.078,NA,T26,NA,T13,T43
